country,fips,city,source,2005,2006,2007,2008,2009,2010,2011,2012
Switzerland,WZ,Zürich,CTS,0.0,0.0,0.0,0.0,1.1,3.0,0.3,0.0
Syrian Arab Republic,SY,Aleppo,CTS,0.0,0.0,2.9,2.5,0.0,0.0,0.0,0.0
Tajikistan,TI,Dushanbe,CTS,6.0,4.5,4.0,2.9,2.9,3.7,3.6,0.0
Thailand,TH,Bangkok,CTS,4.3,4.4,3.7,3.2,2.8,2.7,0.0,0.0
The former Yugoslav Republic of Macedonia,MK,Skopje,CTS,2.9,3.6,4.0,2.5,2.3,2.6,2.1,0.0
Timor-Leste,TT,Dili,UN-PKO,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0
Tonga,TL,Nuku'alofa,National police,17.0,33.8,4.2,12.5,16.5,4.1,8.1,4.0
Trinidad and Tobago,TD,Port of Spain,CTS,21.4,18.1,15.7,30.0,23.2,17.0,17.2,0.0
Turkey,TU,Istanbul,CTS,7.3,6.7,5.2,4.7,0.0,0.0,0.0,0.0
Turkmenistan,TX,Ashkhabad,CTS,3.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,UG,Kampala,CTS,0.0,0.0,0.0,13.4,15.3,12.0,0.0,0.0
Ukraine,UP,Kiev,CTS,4.8,4.8,3.6,3.7,4.2,3.2,0.0,0.0
United Arab Emirates,AE,Dubai,CTS,1.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom (England and Wales),UK,London,CTS,2.4,2.1,2.1,2.1,1.6,1.8,1.3,0.0
United Kingdom (Northern Ireland),EI,Belfast,CTS,4.9,4.1,2.2,1.5,2.6,3.3,1.1,0.0
United Republic of Tanzania,TZ,Dar es Salaam,NGO,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States of America,US,New York City,CTS,6.5,7.1,5.9,6.3,5.6,6.4,6.3,5.1
Uruguay,UY,Montevideo,CTS/Ministry of Interior,0.0,6.8,6.5,8.0,8.4,8.0,8.4,0.0
Venezuela (Bolivarian Republic of),VE,Caracas,NGO,88.0,107.0,130.5,127.0,122.0,0.0,0.0,0.0
Yemen,YM,Sanaa,CTS,5.5,5.5,4.7,3.9,3.8,0.0,0.0,0.0
Zambia,ZA,Lusaka,National police,8.9,9.0,10.8,2.9,8.6,7.0,0.0,0.0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
